<!-- rich cell -->, ,<!-- rich cell -->,<!-- rich cell -->, , ,<!-- rich cell -->,<!-- rich cell -->, ,<!-- rich cell -->,<!-- rich cell -->, 
,,,,,,,,,,,
,,,,,,,,,,,
Revenue, ,<!-- rich cell -->,<!-- rich cell -->,,,$,"245,122",<!-- rich cell -->,<!-- rich cell -->,15%, 
Gross margin, ,,<!-- rich cell -->,,,,"171,008",<!-- rich cell -->,<!-- rich cell -->,13%, 
Operating income, ,,<!-- rich cell -->,,,,"109,433",<!-- rich cell -->,<!-- rich cell -->,17%, 
Net income,,,<!-- rich cell -->,,,,"88,136",,,16%,
Diluted earnings per share, ,,<!-- rich cell -->,,,,11.80,<!-- rich cell -->,<!-- rich cell -->,16%, 
,,,,,,,,,,,
