<!-- rich cell -->, , , , , , , , , , , , 
 , , , , , , , , , , , ,
,,,,,,,,,,,,
<!-- rich cell -->, ,<!-- rich cell -->,<!-- rich cell -->, , ,<!-- rich cell -->,<!-- rich cell -->, , ,<!-- rich cell -->,<!-- rich cell -->, 
,,,,,,,,,,,,
Stock-based compensation expense, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, ,$,"9,611", , ,$,"7,502", 
Income tax benefits related to stock-based compensation, ,,<!-- rich cell -->,<!-- rich cell -->, ,,"1,651", , ,,"1,293", 
 , , , , , , , , , , , ,
