<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , , , ,,,,,,,,
 ,, , , , , , , , , , , , ,
 , , ,,,,,,,,,,,,
<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, ,<!-- rich cell -->,<!-- rich cell -->, ,,,<!-- rich cell -->,,,,<!-- rich cell -->,
 , , ,,,,,,,,,,,,
Operating lease cost,Operating lease cost,Operating lease cost, ,<!-- rich cell -->,<!-- rich cell -->, ,,$,"2,461", ,,$,"2,127",
 , , ,,,, ,,,, ,,,,
 , , ,,,, ,,,, ,,,,
Finance lease cost:,Finance lease cost:,Finance lease cost:, ,<!-- rich cell -->,, ,,,, ,,,,
Amortization of right-of-use assets,Amortization of right-of-use assets,Amortization of right-of-use assets, ,<!-- rich cell -->,<!-- rich cell -->, ,,$,980, ,,$,921,
Interest on lease liabilities,Interest on lease liabilities,Interest on lease liabilities, ,<!-- rich cell -->,<!-- rich cell -->, ,,,429, ,,,386,
<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,,,,,,,<!-- rich cell -->,,
 , , ,,,,,,,,,,,,
Total finance lease cost,Total finance lease cost,Total finance lease cost, ,<!-- rich cell -->,<!-- rich cell -->, ,,$,"1,409", ,,$,"1,307",
 , , , ,<!-- rich cell -->,<!-- rich cell -->,,,,,,,,,
