<!-- rich cell -->, , , , , , , , , , , , 
 , , , , , , , , , , , ,
,,,,,,,,,,,,
<!-- rich cell -->, ,<!-- rich cell -->,<!-- rich cell -->, , ,<!-- rich cell -->,<!-- rich cell -->, , ,<!-- rich cell -->,<!-- rich cell -->, 
,,,,,,,,,,,,
"Balance, beginning of year", ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , ,"7,519", , , ,"7,571", 
Issued, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , ,40, , , ,49, 
Repurchased, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , ,(95,), , ,(101,)
,,,,,,,,,,,,
 , , , ,, , ,,, , ,,
"Balance, end of year", ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , ,"7,464",, , ,"7,519", 
 , ,,,,,,,, , , ,
