<!-- rich cell -->, , , , , , , , , , , , 
 , , , , , , , , , , , ,
,,,,,,,,,,,,
<!-- rich cell -->, ,<!-- rich cell -->,<!-- rich cell -->, , ,<!-- rich cell -->,<!-- rich cell -->, , ,<!-- rich cell -->,<!-- rich cell -->, 
,,,,,,,,,,,,
Server products and cloud services, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, ,$,"67,350", , ,$,"52,589", 
Office products and cloud services, ,,<!-- rich cell -->,<!-- rich cell -->, ,,"44,862", , ,,"39,872",
Windows, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , ,"24,732", , , ,"22,488", 
Gaming, ,<!-- rich cell -->,<!-- rich cell -->,, , ,"16,230",, , ,"15,370", 
LinkedIn,,,<!-- rich cell -->,,,,"13,816",,,,"10,289", 
Search and news advertising, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , ,"11,591", , , ,"9,267", 
Enterprise Services,,,<!-- rich cell -->,,,,"7,407",,,,"6,943",
Devices,,,<!-- rich cell -->,,,,"7,306",,,,"7,143",
Dynamics,,,<!-- rich cell -->,,,,"4,687",,,,"3,754",
Other , ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , ,289, , , ,373, 
 , , , ,, ,, ,, ,,,
,,, ,,,, ,,,, ,
Total, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, ,$,"198,270", , ,$,"168,088", 
 , , , ,, , , ,, , , ,
