<!-- rich cell -->, ,<!-- rich cell -->,<!-- rich cell -->, , ,<!-- rich cell -->,<!-- rich cell -->, 
<!-- rich cell -->,,,,,,,,
<!-- rich cell -->,,,,,,,,
<!-- rich cell -->, , , , , , , , 
 ,,,,,,,,
Foreign exchange contracts purchased,,<!-- rich cell -->,<!-- rich cell -->,,,$,"1,492",
Interest rate contracts purchased,,,<!-- rich cell -->,,,,"1,078",
 ,,,,,,,,
<!-- rich cell -->, , ,,, , ,, 
 ,,,,,,,,
Foreign exchange contracts purchased,,,<!-- rich cell -->,,,,"7,874",
Foreign exchange contracts sold,,,<!-- rich cell -->,,,,"25,159",
Equity contracts purchased,,,<!-- rich cell -->,,,,"3,867",
Equity contracts sold,,,<!-- rich cell -->,,,,"2,154",
Other contracts purchased, , ,<!-- rich cell -->,, , ,"1,224", 
Other contracts sold, , ,<!-- rich cell -->,, , ,581, 
 ,,,,,,,,
