<!-- rich cell -->, , , , , , , , , , , , 
 , , , , , , , , , , , ,
,,,,,,,,,,,,
<!-- rich cell -->, ,<!-- rich cell -->,<!-- rich cell -->, , ,<!-- rich cell -->,<!-- rich cell -->, , ,<!-- rich cell -->,<!-- rich cell -->, 
,,,,,,,,,,,,
"Balance, beginning of year", ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , ,"7,432", , , ,"7,464", 
Issued, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , ,34, , , ,37, 
Repurchased, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , ,(32,), , ,(69,)
,,,,,,,,,,,,
 , , , ,, , ,,, , ,,
"Balance, end of year", ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , ,"7,434",, , ,"7,432",
 , ,,,,,,,, , , ,
