<!-- rich cell -->, , , , , , , , , , , , 
 , , , , , , , , , , , ,
,,,,,,,,,,,,
<!-- rich cell -->, ,<!-- rich cell -->,<!-- rich cell -->, , ,<!-- rich cell -->,<!-- rich cell -->, , ,<!-- rich cell -->,<!-- rich cell -->, 
,,,,,,,,,,,,
Shares purchased, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , ,7, , , ,8, 
Average price per share, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, ,$,259.55, , ,$,207.88, 
 , , , , , , , , , , , ,
