<!-- rich cell -->, ,<!-- rich cell -->,<!-- rich cell -->, , ,<!-- rich cell -->,<!-- rich cell -->, , ,<!-- rich cell -->,<!-- rich cell -->, , ,<!-- rich cell -->,<!-- rich cell -->,, ,<!-- rich cell -->,<!-- rich cell -->,,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , ,<!-- rich cell -->,<!-- rich cell -->, 
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<!-- rich cell -->,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Productivity and Business Processes, ,$,"31,359",<!-- rich cell -->, ,$,0,, ,$,2,, ,<!-- rich cell -->,<!-- rich cell -->,, ,<!-- rich cell -->,<!-- rich cell -->,,,<!-- rich cell -->,<!-- rich cell -->,, ,<!-- rich cell -->,<!-- rich cell -->, 
Intelligent Cloud, , ,"25,676",<!-- rich cell -->, , ,0,, , ,(28,), , ,<!-- rich cell -->,, , ,<!-- rich cell -->,,, ,<!-- rich cell -->,, ,<!-- rich cell -->,<!-- rich cell -->, 
More Personal Computing, , ,"10,851",, , ,"51,235",, , ,125,, , ,<!-- rich cell -->,, , ,<!-- rich cell -->,,, ,<!-- rich cell -->,, ,<!-- rich cell -->,<!-- rich cell -->, 
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total, ,$,"67,886",, ,$,"51,235", , ,$,99,, ,<!-- rich cell -->,<!-- rich cell -->,,,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,,<!-- rich cell -->,<!-- rich cell -->,, ,<!-- rich cell -->,<!-- rich cell -->, 
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
