<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , , , ,,,,,,,,
 ,, , , , , , , , , , , , ,
 , , ,,,,,,,,,,,,
<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, ,<!-- rich cell -->,<!-- rich cell -->, ,,,<!-- rich cell -->,,,,<!-- rich cell -->,
 , , ,,,,,,,,,,,,
Cash paid for amounts included in the measurement of lease liabilities:,Cash paid for amounts included in the measurement of lease liabilities:,Cash paid for amounts included in the measurement of lease liabilities:, ,,,,,,,,,,,
Operating cash flows from operating leases,Operating cash flows from operating leases,Operating cash flows from operating leases, ,<!-- rich cell -->,<!-- rich cell -->,,,$,"2,706",,,$,"2,368",
Operating cash flows from finance leases,Operating cash flows from finance leases,Operating cash flows from finance leases, ,,<!-- rich cell -->,,,,501,,,,429,
Financing cash flows from finance leases,Financing cash flows from finance leases,Financing cash flows from finance leases, ,,<!-- rich cell -->,,,,"1,056",,,,896,
<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,,,,,,,<!-- rich cell -->,,
Right-of-use assets obtained in exchange for lease obligations:,Right-of-use assets obtained in exchange for lease obligations:,Right-of-use assets obtained in exchange for lease obligations:, ,,,,,,,,,,,
Operating leases,Operating leases,Operating leases,,,<!-- rich cell -->,,,,"3,514",,,,"5,268",
Finance leases,Finance leases,Finance leases,,,<!-- rich cell -->,,,,"3,128",,,,"4,234",
 , , , ,<!-- rich cell -->,<!-- rich cell -->,,,,,,,,,
